name,film,dob,d_award,age_award_wiki,award_d,age_award,type_award
Charlize Theron,Monster,7-Aug-75,29-Feb-04,"28 years, 206 days",2004,28.56,best_actress
Hilary Swank,Million Dollar Baby,30-Jul-74,27-Feb-05,"30 years, 212 days",2005,30.58,best_actress
Reese Witherspoon,Walk the Line,22-Mar-76,5-Mar-06,"29 years, 348 days",2006,29.95,best_actress
Helen Mirren,The Queen,26-Jul-45,25-Feb-07,"61 years, 214 days",2007,61.59,best_actress
Marion Cotillard,La Vie en rose,30-Sep-75,24-Feb-08,"32 years, 147 days",2008,32.4,best_actress
Kate Winslet,The Reader,5-Oct-75,22-Feb-09,"33 years, 140 days",2009,33.39,best_actress
Sandra Bullock,The Blind Side,26-Jul-64,7-Mar-10,"45 years, 224 days",2010,45.61,best_actress
Natalie Portman,Black Swan,9-Jun-81,27-Feb-11,"29 years, 263 days",2011,29.72,best_actress
Meryl Streep,The Iron Lady,22-Jun-49,26-Feb-12,"62 years, 249 days",2012,62.68,best_actress
Jennifer Lawrence,Silver Linings Playbook,15-Aug-90,24-Feb-13,"22 years, 193 days",2013,22.53,best_actress
Walter Brennan,Come and Get It,25-Jul-1894,4-Mar-37,"42 years, 222 days",1937,42.61,sup_actor
Joseph Schildkraut,The Life of Emile Zola,22-Mar-1896,10-Mar-38,"41 years, 353 days",1938,41.96,sup_actor
Walter Brennan,Kentucky,25-Jul-1894,23-Feb-39,"44 years, 213 days",1939,44.58,sup_actor
Thomas Mitchell,Stagecoach,11-Jul-1892,29-Feb-40,"47 years, 233 days",1940,47.63,sup_actor
Walter Brennan,The Westerner,25-Jul-1894,27-Feb-41,"46 years, 217 days",1941,46.59,sup_actor
Donald Crisp,How Green Was My Valley,27-Jul-1882,26-Feb-42,"59 years, 214 days",1942,59.58,sup_actor
Van Heflin,Johnny Eager,13-Dec-10,4-Mar-43,"32 years, 81 days",1943,32.22,sup_actor
Charles Coburn,The More the Merrier,19-Jun-1877,2-Mar-44,"66 years, 257 days",1944,66.7,sup_actor
Barry Fitzgerald,Going My Way,10-Mar-1888,15-Mar-45,"57 years, 5 days",1945,57.01,sup_actor
James Dunn,A Tree Grows in Brooklyn,2-Nov-1901,7-Mar-46,"44 years, 125 days",1946,44.34,sup_actor
Harold Russell,The Best Years of Our Lives,14-Jan-14,13-Mar-47,"33 years, 58 days",1947,33.16,sup_actor
Edmund Gwenn,Miracle on 34th Street,26-Sep-1877,20-Mar-48,"70 years, 176 days",1948,70.48,sup_actor
Walter Huston,The Treasure of the Sierra Madre,6-Apr-1884,24-Mar-49,"64 years, 352 days",1949,64.96,sup_actor
Dean Jagger,Twelve O'Clock High,7-Nov-1903,23-Mar-50,"46 years, 136 days",1950,46.37,sup_actor
George Sanders,All About Eve,3-Jul-06,29-Mar-51,"44 years, 269 days",1951,44.74,sup_actor
Karl Malden,A Streetcar Named Desire,22-Mar-12,30-Mar-52,"40 years, 8 days",1952,40.02,sup_actor
Anthony Quinn,Viva Zapata!,21-Apr-15,19-Mar-53,"37 years, 332 days",1953,37.91,sup_actor
Frank Sinatra,From Here to Eternity,12-Dec-15,25-Mar-54,"38 years, 103 days",1954,38.28,sup_actor
Edmond O'Brien,The Barefoot Contessa,10-Sep-15,30-Mar-55,"39 years, 201 days",1955,39.55,sup_actor
Jack Lemmon,Mister Roberts,8-Feb-25,21-Mar-56,"31 years, 42 days",1956,31.11,sup_actor
Anthony Quinn,Lust for Life,21-Apr-15,27-Mar-57,"41 years, 340 days",1957,41.93,sup_actor
Red Buttons,Sayonara,5-Feb-19,26-Mar-58,"39 years, 49 days",1958,39.13,sup_actor
Burl Ives,The Big Country,14-Jun-09,6-Apr-59,"49 years, 296 days",1959,49.81,sup_actor
Hugh Griffith,Ben-Hur,30-May-12,4-Apr-60,"47 years, 310 days",1960,47.85,sup_actor
Peter Ustinov,Spartacus,16-Apr-21,17-Apr-61,"40 years, 1 day",1961,40,sup_actor
George Chakiris,West Side Story,16-Sep-34,9-Apr-62,"27 years, 205 days",1962,27.56,sup_actor
Ed Begley,Sweet Bird of Youth,25-Mar-1901,8-Apr-63,"62 years, 14 days",1963,62.04,sup_actor
Melvyn Douglas,Hud,5-Apr-1901,13-Apr-64,"63 years, 8 days",1964,63.02,sup_actor
Peter Ustinov,Topkapi,16-Apr-21,5-Apr-65,"43 years, 354 days",1965,43.97,sup_actor
Martin Balsam,A Thousand Clowns,4-Nov-19,18-Apr-66,"46 years, 165 days",1966,46.45,sup_actor
Walter Matthau,The Fortune Cookie,1-Oct-20,10-Apr-67,"46 years, 191 days",1967,46.52,sup_actor
George Kennedy,Cool Hand Luke,18-Feb-25,10-Apr-68,"43 years, 52 days",1968,43.14,sup_actor
Jack Albertson,The Subject Was Roses,16-Jun-07,14-Apr-69,"61 years, 302 days",1969,61.83,sup_actor
Gig Young,"They Shoot Horses, Don't They?",4-Nov-13,7-Apr-70,"56 years, 154 days",1970,56.42,sup_actor
John Mills,Ryan's Daughter,22-Feb-08,15-Apr-71,"63 years, 52 days",1971,63.14,sup_actor
Ben Johnson,The Last Picture Show,13-Jun-18,10-Apr-72,"53 years, 302 days",1972,53.83,sup_actor
Joel Grey,Cabaret,11-Apr-32,27-Mar-73,"40 years, 350 days",1973,40.96,sup_actor
John Houseman,The Paper Chase,22-Sep-1902,2-Apr-74,"71 years, 192 days",1974,71.53,sup_actor
Robert De Niro,The Godfather Part II,17-Aug-43,8-Apr-75,"31 years, 234 days",1975,31.64,sup_actor
George Burns,The Sunshine Boys,20-Jan-1896,29-Mar-76,"80 years, 69 days",1976,80.19,sup_actor
Jason Robards,All the President's Men,26-Jul-22,28-Mar-77,"54 years, 245 days",1977,54.67,sup_actor
Jason Robards,Julia,26-Jul-22,3-Apr-78,"55 years, 251 days",1978,55.69,sup_actor
Christopher Walken,The Deer Hunter,31-Mar-43,9-Apr-79,"36 years, 9 days",1979,36.02,sup_actor
Melvyn Douglas,Being There,5-Apr-1901,14-Apr-80,"79 years, 9 days",1980,79.03,sup_actor
Timothy Hutton,Ordinary People,16-Aug-60,31-Mar-81,"20 years, 227 days",1981,20.62,sup_actor
John Gielgud,Arthur,14-Apr-04,29-Mar-82,"77 years, 349 days",1982,77.95,sup_actor
"Louis Gossett, Jr.",An Officer and a Gentleman,27-May-36,11-Apr-83,"46 years, 319 days",1983,46.87,sup_actor
Jack Nicholson,Terms of Endearment,22-Apr-37,9-Apr-84,"46 years, 353 days",1984,46.97,sup_actor
Haing S. Ngor,The Killing Fields,22-Mar-40,25-Mar-85,"45 years, 3 days",1985,45.01,sup_actor
Don Ameche,Cocoon,31-May-08,24-Mar-86,"77 years, 297 days",1986,77.81,sup_actor
Michael Caine,Hannah and Her Sisters,14-Mar-33,30-Mar-87,"54 years, 16 days",1987,54.04,sup_actor
Sean Connery,The Untouchables,25-Aug-30,11-Apr-88,"57 years, 230 days",1988,57.63,sup_actor
Kevin Kline,A Fish Called Wanda,24-Oct-47,27-Mar-89,"41 years, 154 days",1989,41.42,sup_actor
Denzel Washington,Glory,28-Dec-54,26-Mar-90,"35 years, 88 days",1990,35.24,sup_actor
Joe Pesci,Goodfellas,9-Feb-43,25-Mar-91,"48 years, 44 days",1991,48.12,sup_actor
Jack Palance,City Slickers,18-Feb-19,30-Mar-92,"73 years, 41 days",1992,73.11,sup_actor
Gene Hackman,Unforgiven,30-Jan-30,29-Mar-93,"63 years, 58 days",1993,63.16,sup_actor
